Date,Hour,Solar Radiation
3/8/24,10:00:00 PM,0
3/8/24,11:00:00 PM,0
3/9/24,12:00:00 AM,0
3/9/24,1:00:00 AM,0
3/9/24,2:00:00 AM,0
3/9/24,3:00:00 AM,0
3/9/24,4:00:00 AM,0
3/9/24,5:00:00 AM,0
3/9/24,6:00:00 AM,3
3/9/24,7:00:00 AM,23
3/9/24,8:00:00 AM,51
3/9/24,9:00:00 AM,74
3/9/24,10:00:00 AM,52
3/9/24,11:00:00 AM,52
3/9/24,12:00:00 PM,46
3/9/24,1:00:00 PM,60
3/9/24,2:00:00 PM,68
3/9/24,3:00:00 PM,33
3/9/24,4:00:00 PM,17
3/9/24,5:00:00 PM,6
3/9/24,6:00:00 PM,0
3/9/24,7:00:00 PM,0
3/9/24,8:00:00 PM,0
3/9/24,9:00:00 PM,0
3/9/24,10:00:00 PM,0
3/9/24,11:00:00 PM,0
3/10/24,12:00:00 AM,0
3/10/24,1:00:00 AM,0
3/10/24,2:00:00 AM,0
3/10/24,3:00:00 AM,0
3/10/24,4:00:00 AM,0
3/10/24,5:00:00 AM,0
3/10/24,6:00:00 AM,0
3/10/24,7:00:00 AM,22
3/10/24,8:00:00 AM,149
3/10/24,9:00:00 AM,260
3/10/24,10:00:00 AM,448
3/10/24,11:00:00 AM,702
3/10/24,12:00:00 PM,751
3/10/24,1:00:00 PM,678
3/10/24,2:00:00 PM,601
3/10/24,3:00:00 PM,527
3/10/24,4:00:00 PM,177
3/10/24,5:00:00 PM,216
3/10/24,6:00:00 PM,32
3/10/24,7:00:00 PM,0
3/10/24,8:00:00 PM,0
3/10/24,9:00:00 PM,0
3/10/24,10:00:00 PM,0
3/10/24,11:00:00 PM,0
3/11/24,12:00:00 AM,0
3/11/24,1:00:00 AM,0
3/11/24,2:00:00 AM,0
3/11/24,3:00:00 AM,0
3/11/24,4:00:00 AM,0
3/11/24,5:00:00 AM,0
3/11/24,6:00:00 AM,0
3/11/24,7:00:00 AM,29
3/11/24,8:00:00 AM,197
3/11/24,9:00:00 AM,393
3/11/24,10:00:00 AM,563
3/11/24,11:00:00 AM,694
3/11/24,12:00:00 PM,769
3/11/24,1:00:00 PM,784
3/11/24,2:00:00 PM,731
3/11/24,3:00:00 PM,619
3/11/24,4:00:00 PM,458
3/11/24,5:00:00 PM,265
3/11/24,6:00:00 PM,43
3/11/24,7:00:00 PM,1
3/11/24,8:00:00 PM,0
3/11/24,9:00:00 PM,0
3/11/24,10:00:00 PM,0
3/11/24,11:00:00 PM,0
3/12/24,12:00:00 AM,0
3/12/24,1:00:00 AM,0
3/12/24,2:00:00 AM,0
3/12/24,3:00:00 AM,0
3/12/24,4:00:00 AM,0
3/12/24,5:00:00 AM,0
3/12/24,6:00:00 AM,0
3/12/24,7:00:00 AM,27
3/12/24,8:00:00 AM,180
3/12/24,9:00:00 AM,372
3/12/24,10:00:00 AM,546
3/12/24,11:00:00 AM,677
3/12/24,12:00:00 PM,752
3/12/24,1:00:00 PM,762
3/12/24,2:00:00 PM,713
3/12/24,3:00:00 PM,536
3/12/24,4:00:00 PM,435
3/12/24,5:00:00 PM,238
3/12/24,6:00:00 PM,51
3/12/24,7:00:00 PM,1
3/12/24,8:00:00 PM,0
3/12/24,9:00:00 PM,0
3/12/24,10:00:00 PM,0
3/12/24,11:00:00 PM,0
3/13/24,12:00:00 AM,0
3/13/24,1:00:00 AM,0
3/13/24,2:00:00 AM,0
3/13/24,3:00:00 AM,0
3/13/24,4:00:00 AM,0
3/13/24,5:00:00 AM,0
3/13/24,6:00:00 AM,0
3/13/24,7:00:00 AM,34
3/13/24,8:00:00 AM,133
3/13/24,9:00:00 AM,265
3/13/24,10:00:00 AM,370
3/13/24,11:00:00 AM,540
3/13/24,12:00:00 PM,674
3/13/24,1:00:00 PM,595
3/13/24,2:00:00 PM,690
3/13/24,3:00:00 PM,445
3/13/24,4:00:00 PM,375
3/13/24,5:00:00 PM,215
3/13/24,6:00:00 PM,81
3/13/24,7:00:00 PM,2
3/13/24,8:00:00 PM,0
3/13/24,9:00:00 PM,0
3/13/24,10:00:00 PM,0
3/13/24,11:00:00 PM,0
3/14/24,12:00:00 AM,0
3/14/24,1:00:00 AM,0
3/14/24,2:00:00 AM,0
3/14/24,3:00:00 AM,0
3/14/24,4:00:00 AM,0
3/14/24,5:00:00 AM,0
3/14/24,6:00:00 AM,0
3/14/24,7:00:00 AM,28
3/14/24,8:00:00 AM,162
3/14/24,9:00:00 AM,325
3/14/24,10:00:00 AM,546
3/14/24,11:00:00 AM,670
3/14/24,12:00:00 PM,738
3/14/24,1:00:00 PM,749
3/14/24,2:00:00 PM,672
3/14/24,3:00:00 PM,596
3/14/24,4:00:00 PM,437
3/14/24,5:00:00 PM,223
3/14/24,6:00:00 PM,36
3/14/24,7:00:00 PM,1
3/14/24,8:00:00 PM,0
3/14/24,9:00:00 PM,0
3/14/24,10:00:00 PM,0
3/14/24,11:00:00 PM,0
3/15/24,12:00:00 AM,0
3/15/24,1:00:00 AM,0
3/15/24,2:00:00 AM,0
3/15/24,3:00:00 AM,0
3/15/24,4:00:00 AM,0
3/15/24,5:00:00 AM,0
3/15/24,6:00:00 AM,0
3/15/24,7:00:00 AM,13
3/15/24,8:00:00 AM,29
3/15/24,9:00:00 AM,92
3/15/24,10:00:00 AM,288
3/15/24,11:00:00 AM,399
3/15/24,12:00:00 PM,427
3/15/24,1:00:00 PM,502
3/15/24,2:00:00 PM,511
3/15/24,3:00:00 PM,259
3/15/24,4:00:00 PM,98
3/15/24,5:00:00 PM,88
3/15/24,6:00:00 PM,20
3/15/24,7:00:00 PM,1
3/15/24,8:00:00 PM,0
3/15/24,9:00:00 PM,0
3/15/24,10:00:00 PM,0
3/15/24,11:00:00 PM,0
3/16/24,12:00:00 AM,0
3/16/24,1:00:00 AM,0
3/16/24,2:00:00 AM,0
3/16/24,3:00:00 AM,0
3/16/24,4:00:00 AM,0
3/16/24,5:00:00 AM,0
3/16/24,6:00:00 AM,0
3/16/24,7:00:00 AM,45
3/16/24,8:00:00 AM,217
3/16/24,9:00:00 AM,411
3/16/24,10:00:00 AM,570
3/16/24,11:00:00 AM,711
3/16/24,12:00:00 PM,789
3/16/24,1:00:00 PM,796
3/16/24,2:00:00 PM,736
3/16/24,3:00:00 PM,631
3/16/24,4:00:00 PM,468
3/16/24,5:00:00 PM,247
3/16/24,6:00:00 PM,56
3/16/24,7:00:00 PM,2
3/16/24,8:00:00 PM,0
3/16/24,9:00:00 PM,0
3/16/24,10:00:00 PM,0
3/16/24,11:00:00 PM,0
3/17/24,12:00:00 AM,0
3/17/24,1:00:00 AM,0
3/17/24,2:00:00 AM,0
3/17/24,3:00:00 AM,0
3/17/24,4:00:00 AM,0
3/17/24,5:00:00 AM,0
3/17/24,6:00:00 AM,0
3/17/24,7:00:00 AM,54
3/17/24,8:00:00 AM,201
3/17/24,9:00:00 AM,210
3/17/24,10:00:00 AM,434
3/17/24,11:00:00 AM,634
3/17/24,12:00:00 PM,590
3/17/24,1:00:00 PM,619
3/17/24,2:00:00 PM,746
3/17/24,3:00:00 PM,408
3/17/24,4:00:00 PM,288
3/17/24,5:00:00 PM,183
3/17/24,6:00:00 PM,55
3/17/24,7:00:00 PM,2
3/17/24,8:00:00 PM,0
3/17/24,9:00:00 PM,0
3/17/24,10:00:00 PM,0
3/17/24,11:00:00 PM,0
3/18/24,12:00:00 AM,0
3/18/24,1:00:00 AM,0
3/18/24,2:00:00 AM,0
3/18/24,3:00:00 AM,0
